aluno_id,nome_aluno,email_aluno,curso,status,turma,sexo,idade,trabalha,renda_familiar,acompanhamento_medico,tem_filho,estado_civil,semestre,bimestre,aula_1,professor_1,notas_1,faltas_1,desempenho_1,aula_2,professor_2,notas_2,faltas_2,desempenho_2,aula_3,professor_3,notas_3,faltas_3,desempenho_3,aula_4,professor_4,notas_4,faltas_4,desempenho_4,aula_5,professor_5,notas_5,faltas_5,desempenho_5,risco_evasao
11,Dra. Isis Moraes,camaraasafe@example.com,Marketing,Formado,B,Masculino,32.0,1,7912,0,0,Solteiro(a),2,4,Pesquisa de Mercado,Sr. Fernando da Paz,3.45,5,Ruim,Comportamento do Consumidor,Murilo Ramos,4.97,2,Ruim,Gestão de Marketing,Luiz Otávio Vieira,7.57,13,Ruim,Marketing Digital,Raul Ramos,6.43,3,Regular,Publicidade,Zoe Barbosa,3.39,13,Ruim,0
12,0923023,sabrina20@example.net,Teatro,Formado,B,Outro,27.0,1,854,0,1,Relacionado(a),1,1,História do Teatro,Liam Borges,5.12,0,Regular,Direção Teatral,Julia Rezende,5.96,3,Regular,Cenografia,Giovanna Lima,7.66,10,Regular,Roteiro Teatral,Laura Nascimento,9.47,7,Regular,Iluminação Teatral,Sr. Josué Machado,3.3,8,Ruim,0
13,Maya Freitas,ian61@example.org,Veterinária,Matriculado,D,Masculino,30.0,1,3181,0,1,Solteiro(a),1,1,Gestão de Projetos de TI,Ana Beatriz Rezende,2.64,14,Ruim,Banco de Dados,Raul das Neves,0.72,11,Ruim,Sistemas de Informação Empresarial,Nicolas Macedo,6.16,8,Regular,Desenvolvimento de Software,Benicio Fernandes,4.61,3,Ruim,Análise de Sistemas,Sr. Gustavo Farias,1.1,13,Ruim,0
14,Asafe Peixoto,joao-gabriel20@example.org,Engenharia de Produção,Matriculado,B,Masculino,36.0,1,7084,1,1,Solteiro(a),2,3,Algoritmos,Sra. Bianca Santos,0.47,3,Ruim,Estruturas de Dados,Isabella Alves,8.99,3,Excelente,Banco de Dados,Heitor Vargas,7.8,10,Regular,Programação,Srta. Isabella Moura,8.84,8,Regular,Sistemas Operacionais,Joaquim Pastor,2.64,1,Ruim,1
15,Maitê Marques,juliana53@example.org,Redes de Computadores,Matriculado,C,Feminino,0.0,1,2155,0,0,Relacionado(a),1,1,Arquitetura de Redes,Olívia Dias,4.33,14,Ruim,Administração de Redes,Pedro Henrique Borges,6.38,4,Regular,Segurança em Redes,Lunna da Cunha,2.04,5,Ruim,Protocolos de Comunicação,Apollo Siqueira,7.95,10,Regular,Redes de Dados,Rafaela Andrade,2.43,11,Ruim,0
16,Dante da Costa,diashenry-gabriel@example.com,Secretariado Executivo,Formado,A,Masculino,35.0,0,7124,0,0,Relacionado(a),2,4,Gestão de Escritórios,Aurora Duarte,6.82,15,Ruim,Gestão de Pessoas,Pedro Miguel Teixeira,7.62,8,Regular,Atendimento ao Cliente,Alice da Mata,3.74,6,Ruim,Comunicação Empresarial,Milena Câmara,3.78,9,Ruim,Administração do Tempo,Elisa Fonseca,0.16,14,Ruim,0
17,Gabriel Aparecida,vargasmaria-sophia@example.net,Marketing,Formado,C,Outro,45.0,0,2078,1,1,Relacionado(a),1,4,Gestão de Marketing,Rafael Silva,4.03,15,Ruim,Comportamento do Consumidor,Caleb da Cunha,6.41,11,Ruim,Pesquisa de Mercado,Cauã da Rocha,3.83,3,Ruim,Marketing Digital,Liam Pastor,2.13,15,Ruim,Publicidade,Sra. Maria Luiza Novais,9.38,11,Ruim,0
18,Letícia Ribeiro,pastorrhavi@example.net,Geografia,Trancado,C,Outro,39.0,0,8424,1,0,Solteiro(a),1,3,Geopolítica,Dr. Marcos Vinicius Cassiano,7.91,13,Ruim,Geografia Humana,Davi Luiz Sales,2.2,14,Ruim,Geografia Física,Srta. Luna Novais,8.21,5,Bom,Cartografia,José Miguel Novais,7.04,13,Ruim,Planejamento Urbano,Benjamim da Rosa,6.65,9,Regular,0
19,Cecilia Ramos,xpinto@example.org,Geografia,Trancado,A,Outro,39.0,0,1759,1,0,clique aqui,1,2,Matemática,Ian Carvalho,1.13,4,Ruim,Sociologia,Antônio Machado,7.02,5,Bom,Física,Lucca Pinto,4.77,8,Ruim,Geografia,Maria Julia Novaes,4.38,5,Ruim,Química,Pietro Lima,4.65,3,Ruim,0
20,Aylla Freitas,maria-julia35@example.com,Direito,Matriculado,B,Outro,30.0,0,7255,1,0,Solteiro(a),2,1,Teoria dos Números,Erick da Rocha,9.98,4,Bom,Cálculo,Vicente Pastor,8.02,13,Ruim,Probabilidade e Estatística,Gustavo Henrique Moura,1.14,4,Ruim,Geometria,Sr. Asafe da Luz,7.5,7,Regular,Álgebra Linear,Ravy Costela,5.2,6,Regular,0
21,Pedro Miguel Sá,zsousa@example.org,Gestão Comercial,Trancado,D,Feminino,43.0,1,8814,1,1,Relacionado(a),2,1,Comportamento do Consumidor,Yan Lima,9.83,3,Excelente,Gestão de Estoques,Ana Laura Rezende,6.29,9,Regular,Marketing e Vendas,Nina Camargo,8.91,0,Excelente,Gestão de Relacionamento,Gael Henrique Cirino,3.88,9,Ruim,Gestão de Vendas,Cauê Machado,7.15,10,Regular,1
22,Evelyn Garcia,yleao@example.org,Ciência da Computação,Matriculado,C,Masculino,27.0,0,2836,0,1,Relacionado(a),1,2,Redes de Computadores,Rhavi Nogueira,3.17,6,Ruim,Inteligência Artificial,Ravi Lucca Cunha,4.62,8,Ruim,Sistemas Distribuídos,Heloisa Silveira,7.2,5,Bom,Estruturas de Dados,Aurora da Cruz,9.98,7,Regular,Algoritmos,Laís Pinto,7.37,14,Ruim,0
23,Apollo Abreu,arthur-miguel48@example.org,Biologia,Trancado,B,Outro,17.0,0,2806,0,1,Solteiro(a),2,4,Pesquisa de Mercado,Sr. Fernando da Paz,4.38,11,Ruim,Comportamento do Consumidor,Murilo Ramos,8.78,1,Excelente,Gestão de Marketing,Luiz Otávio Vieira,0.66,7,Ruim,Marketing Digital,Raul Ramos,1.01,3,Ruim,Publicidade,Zoe Barbosa,1.07,12,Ruim,0
24,Mathias Rios,,Banco de Dados,Trancado,C,Masculino,41.0,0,7631,1,0,Relacionado(a),1,3,Geopolítica,Dr. Marcos Vinicius Cassiano,9.22,4,Bom,Geografia Humana,Davi Luiz Sales,9.56,4,Bom,Geografia Física,Srta. Luna Novais,8.42,6,Regular,Cartografia,José Miguel Novais,4.07,5,Ruim,Planejamento Urbano,Benjamim da Rosa,9.88,8,Regular,0
25,Antony Araújo,meloeduardo@example.org,Radiologia,Formado,C,Feminino,44.0,0,8137,0,0,Relacionado(a),1,2,Redes de Computadores,Rhavi Nogueira,3.83,9,Ruim,Inteligência Artificial,Ravi Lucca Cunha,0.86,2,Ruim,Sistemas Distribuídos,Heloisa Silveira,3.45,15,Ruim,Estruturas de Dados,Aurora da Cruz,7.26,5,Bom,Algoritmos,Laís Pinto,8.26,5,Bom,0
26,Henry Gabriel Castro,spires@example.com,Fisioterapia,Formado,C,Feminino,35.0,0,3115,0,1,Solteiro(a),1,3,Geopolítica,Dr. Marcos Vinicius Cassiano,0.54,15,Ruim,Geografia Humana,Davi Luiz Sales,7.46,6,Regular,Geografia Física,Srta. Luna Novais,8.33,7,Regular,Cartografia,José Miguel Novais,0.02,1,Ruim,Planejamento Urbano,Benjamim da Rosa,7.71,7,Regular,0
27,Srta. Pietra Vasconcelos,lcosta@example.com,Biblioteconomia,Formado,B,Masculino,999.0,1,3318,1,1,Solteiro(a),2,3,Algoritmos,Sra. Bianca Santos,5.67,15,Ruim,Estruturas de Dados,Isabella Alves,0.3,10,Ruim,Banco de Dados,Heitor Vargas,5.13,5,Regular,Programação,Srta. Isabella Moura,5.25,11,Ruim,Sistemas Operacionais,Joaquim Pastor,0.28,4,Ruim,1
28,Thiago Câmara,isiqueira@example.org,Enfermagem,Matriculado,D,Feminino,33.0,1,8490,1,1,Relacionado(a),2,4,Gestão de Hospedagem,Theodoro Oliveira,8.51,3,Excelente,Gestão de Alimentos e Bebidas,Ester Correia,6.31,1,Regular,Gestão de Hotelaria,Paulo Casa Grande,0.08,6,Ruim,Marketing de Hotelaria,Lara Pacheco,8.42,10,Regular,Hospitalidade,Dr. Benício Farias,0.52,1,Ruim,1
29,Dom Jesus,kamillysilveira@example.org,Biblioteconomia,Formado,A,Feminino,35.0,0,6695,1,1,Solteiro(a),2,4,Gestão de Escritórios,Aurora Duarte,6.45,15,Ruim,Gestão de Pessoas,Pedro Miguel Teixeira,6.78,7,Regular,Atendimento ao Cliente,Alice da Mata,8.64,13,Ruim,Comunicação Empresarial,Milena Câmara,3.9,1,Ruim,Administração do Tempo,Elisa Fonseca,5.1,3,Regular,0
30,Josué Jesus,limaisabella@example.com,Psicologia,Formado,C,Masculino,17.0,0,3504,1,1,Solteiro(a),2,1,Psicopatologia,Luiz Henrique Viana,3.87,14,Ruim,Psicologia Geral,João Guilherme Correia,6.61,3,Regular,Teorias da Personalidade,João Guilherme Montenegro,3.86,7,Ruim,Psicologia Social,André Nogueira,8.35,4,Bom,Psicologia do Desenvolvimento,Matheus Moura,3.73,7,Ruim,0
31,João Vitor da Rosa,steixeira@example.net,Computação,Matriculado,A,Outro,20.0,1,8685,0,0,Solteiro(a),2,2,Sistemas Operacionais,Ester Sousa,3.96,14,Ruim,Algoritmos,Benjamin Sampaio,7.64,2,Bom,Programação,Jade Oliveira,5.88,9,Regular,Banco de Dados,Benicio Nascimento,9.01,14,Ruim,Estruturas de Dados,Ana Vitória Pires,2.41,7,Ruim,0
32,Dr. Ravi Lucca Rocha,dom50@example.com,Moda,Trancado,C,Feminino,27.0,0,1685,1,1,Relacionado(a),1,2,Redes de Computadores,Rhavi Nogueira,6.19,5,Regular,Inteligência Artificial,Ravi Lucca Cunha,2.04,5,Ruim,Sistemas Distribuídos,Heloisa Silveira,4.08,7,Ruim,Estruturas de Dados,Aurora da Cruz,6.99,7,Regular,Algoritmos,Laís Pinto,3.52,8,Ruim,0
33,Lorenzo Ferreira,vcassiano@example.org,Engenharia,Formado,A,Feminno,29.0,1,8319,0,0,Relacionado(a),1,3,Física Aplicada,Marcela Ribeiro,9.14,2,Excelente,Cálculo,Sr. Vitor Gabriel Montenegro,3.06,12,Ruim,Circuitos Elétricos,Antonella Andrade,4.13,2,Ruim,Desenho Técnico,Sr. Lucas Gabriel da Luz,8.47,12,Ruim,Mecânica,Vitória Alves,5.89,8,Regular,0
34,Rebeca Siqueira,juan09@example.com,Física,Formado,A,,39.0,1,7278,1,0,Relacionado(a),1,3,Física Aplicada,Marcela Ribeiro,6.51,2,Regular,Cálculo,Sr. Vitor Gabriel Montenegro,5.76,7,Regular,Circuitos Elétricos,Antonella Andrade,9.43,12,Ruim,Desenho Técnico,Sr. Lucas Gabriel da Luz,7.06,8,Regular,Mecânica,Vitória Alves,9.71,8,Regular,0
35,Apollo Aragão,laura28@example.net,Ciência da Computação,Formado,D,Feminino,27.0,0,3230,1,1,Solteiro(a),2,2,Medicina Veterinária,Dra. Ana Peixoto,5.94,9,Regular,Genética Animal,Luiz Henrique Peixoto,2.64,4,Ruim,Nutrição Animal,Josué Gonçalves,9.71,3,Excelente,Fisiologia Animal,Isadora Machado,4.22,1,Ruim,Produção Animal,Ágatha Aparecida,9.71,7,Regular,0
36,Dr. João Miguel Ferreira,eloacorreia@example.net,Artes Visuais,Formado,A,Outro,23.0,1,1709,0,1,Relacionado(a),2,1,Fotografia,Davi Miguel Melo,0.68,2,Ruim,História da Arte,Sr. Yan Garcia,4.91,14,Ruim,Arte Digital,Helena Novais,8.72,9,Regular,Escultura,Ana Liz Gonçalves,3.18,3,Ruim,Pintura,Bernardo da Mota,5.04,8,Regular,0
37,Brayan Moura,santosmarcos-vinicius@example.net,Museologia,Formado,A,Masculino,24.0,0,5606,0,1,Relacionado(a),2,3,Sociologia,Guilherme Peixoto,3.73,10,Ruim,Física,Srta. Luísa da Conceição,5.0,2,Regular,Matemática,Raquel Siqueira,4.9,1,Ruim,História,José Miguel Costa,8.5,12,Ruim,Química,Juliana da Paz,9.09,6,Regular,0
38,22333123,randrade@example.org,Estatística,Formado,A,Masculino,28.0,1,2077,1,1,Relacionado(a),1,1,Gestão de Marketing,José Lima,8.62,4,Bom,Comportamento do Consumidor,Ian Mendonça,1.23,15,Ruim,Marketing Digital,Srta. Gabrielly Cardoso,6.94,3,Regular,Pesquisa de Mercado,Cecilia Cavalcante,5.86,6,Regular,Publicidade,Luiz Gustavo da Cunha,2.02,12,Ruim,0
39,Antony Câmara,pereirapietra@example.org,Química,Trancado,C,Outro,29.0,0,6334,1,0,Relacionado(a),1,4,Gestão de Marketing,Rafael Silva,6.79,3,Regular,Comportamento do Consumidor,Caleb da Cunha,9.32,6,Regular,Pesquisa de Mercado,Cauã da Rocha,8.4,5,Bom,Marketing Digital,Liam Pastor,1.05,9,Ruim,Publicidade,Sra. Maria Luiza Novais,9.47,12,Ruim,0
40,Alana Nunes,helenada-costa@example.com,Psicologia,Formado,D,Masculino,42.0,0,9234,1,0,Relacionado(a),1,3,Teorias da Personalidade,Guilherme Fonseca,4.58,7,Ruim,Psicologia Social,Maria Júlia Fonseca,5.63,2,Regular,Psicologia Geral,Luiz Fernando Santos,5.79,3,Regular,Psicopatologia,Mateus Melo,4.93,1,Ruim,Psicologia do Desenvolvimento,Igor das Neves,3.61,7,Ruim,0
41,Vitor Hugo Vargas,jcunha@example.org,Publicidade e Propaganda,Formado,D,Masculino,33.0,1,2175,1,1,Solteiro(a),1,4,Relações Públicas,Calebe Sampaio,3.12,3,Ruim,Marketing Digital,Vicente Porto,8.66,10,Regular,Comunicação Publicitária,João Gabriel Casa Grande,4.7,7,Ruim,Publicidade Criativa,Milena Farias,8.09,6,Regular,Comportamento do Consumidor,Sr. Josué da Cruz,2.63,4,Ruim,1
42,Clarice Pacheco,bmacedo@example.com,Segurança do Trabalho,Trancado,C,XXXXXXXXX,39.0,0,3679,0,1,Solteiro(a),1,2,Redes de Computadores,Rhavi Nogueira,4.27,9,Ruim,Inteligência Artificial,Ravi Lucca Cunha,3.31,3,Ruim,Sistemas Distribuídos,Heloisa Silveira,9.61,13,Ruim,Estruturas de Dados,Aurora da Cruz,8.47,7,Regular,Algoritmos,Laís Pinto,3.4,1,Ruim,0
43,Melissa Pacheco,rmacedo@example.org,Relações Internacionais,Trancado,D,Masculino,18.0,1,10000000000,0,0,Relacionado(a),1,3,Teorias da Personalidade,Guilherme Fonseca,4.66,1,Ruim,Psicologia Social,Maria Júlia Fonseca,9.65,11,Ruim,Psicologia Geral,Luiz Fernando Santos,2.58,6,Ruim,Psicopatologia,Mateus Melo,3.36,2,Ruim,Psicologia do Desenvolvimento,Igor das Neves,3.08,14,Ruim,0
44,Thiago Lopes,user@@site,Enfermagem,Formado,D,Outro,17.0,0,6554,0,0,Relacionado(a),1,2,Psicologia da Saúde,Maria Eduarda Ramos,6.6,1,Regular,Cuidado Intensivo,Luiz Gustavo Guerra,9.42,6,Regular,Enfermagem Geral,Bryan da Conceição,7.13,9,Regular,Anatomia e Fisiologia,Sr. Kaique Abreu,4.47,12,Ruim,Saúde Pública,Sra. Marina Fonseca,2.56,13,Ruim,0
45,Henry Gomes,ana-liviarodrigues@example.com,Teologia,Trancado,D,Feminino,28.0,1,6940,1,1,Relacionado(a),1,3,Teorias da Personalidade,Guilherme Fonseca,2.05,0,Ruim,Psicologia Social,Maria Júlia Fonseca,5.37,1,Regular,Psicologia Geral,Luiz Fernando Santos,1.14,10,Ruim,Psicopatologia,Mateus Melo,7.86,13,Ruim,Psicologia do Desenvolvimento,Igor das Neves,9.47,2,Excelente,0
46,Liam Campos,hadassa67@example.net,Biologia,Matriculado,C,Masculino,38.0,0,5932,1,1,Relacionado(a),1,3,Geopolítica,Dr. Marcos Vinicius Cassiano,9.56,5,Bom,Geografia Humana,Davi Luiz Sales,2.62,3,Ruim,Geografia Física,Srta. Luna Novais,2.35,6,Ruim,Cartografia,José Miguel Novais,9.69,12,Ruim,Planejamento Urbano,Benjamim da Rosa,7.48,7,Regular,0
47,Ana Sophia Costa,kapewodkad,Engenharia Mecânica,Formado,D,Masculino,32.0,1,6281,1,0,Relacionado(a),2,1,Comportamento do Consumidor,Yan Lima,8.03,8,Regular,Gestão de Estoques,Ana Laura Rezende,1.81,0,Ruim,Marketing e Vendas,Nina Camargo,4.5,10,Ruim,Gestão de Relacionamento,Gael Henrique Cirino,7.19,6,Regular,Gestão de Vendas,Cauê Machado,4.64,7,Ruim,0
48,Sr. Joaquim Jesus,alexandre09@example.com,Física,Trancado,D,Masculino,43.0,1,5736,0,1,Relacionado(a),2,1,Comportamento do Consumidor,Yan Lima,4.21,7,Ruim,Gestão de Estoques,Ana Laura Rezende,5.68,11,Ruim,Marketing e Vendas,Nina Camargo,9.25,7,Regular,Gestão de Relacionamento,Gael Henrique Cirino,0.96,0,Ruim,Gestão de Vendas,Cauê Machado,6.17,13,Ruim,0
49,Lavínia Sales,zteixeira@example.net,Sistemas de Informação,Formado,D,Outro,36.0,1,7838,1,1,Relacionado(a),2,2,Medicina Veterinária,Dra. Ana Peixoto,3.57,13,Ruim,Genética Animal,Luiz Henrique Peixoto,1.75,0,Ruim,Nutrição Animal,Josué Gonçalves,3.1,15,Ruim,Fisiologia Animal,Isadora Machado,8.23,13,Ruim,Produção Animal,Ágatha Aparecida,3.05,0,Ruim,1
50,Alexandre Aparecida,lmelo@example.net,Direito,Matriculado,A,Outro,33.0,0,7126,1,1,Solteiro(a),1,1,Gestão de Marketing,José Lima,5.66,13,Ruim,Comportamento do Consumidor,Ian Mendonça,2.95,15,Ruim,Marketing Digital,Srta. Gabrielly Cardoso,5.49,5,Regular,Pesquisa de Mercado,Cecilia Cavalcante,8.92,8,Regular,Publicidade,Luiz Gustavo da Cunha,3.77,6,Ruim,0
51,Luiz Otávio Camargo,renanaraujo@example.net,Teologia,Matriculado,A,Outro,19.0,1,5178,0,1,Solteiro(a),2,1,Fotografia,Davi Miguel Melo,7.41,13,Ruim,História da Arte,Sr. Yan Garcia,1.91,14,Ruim,Arte Digital,Helena Novais,4.53,2,Ruim,Escultura,Ana Liz Gonçalves,7.1,13,Ruim,Pintura,Bernardo da Mota,2.99,1,Ruim,0
52,Pedro Peixoto,maysa69@example.com,Engenharia de Produção,Formado,A,Feminino,37.0,1,4430,0,0,Solteiro(a),2,4,Gestão de Escritórios,Aurora Duarte,7.47,4,Bom,Gestão de Pessoas,Pedro Miguel Teixeira,1.24,12,Ruim,Atendimento ao Cliente,Alice da Mata,3.05,15,Ruim,Comunicação Empresarial,Milena Câmara,4.26,7,Ruim,Administração do Tempo,Elisa Fonseca,5.83,6,Regular,0
53,Henry Brito,vianajoao-gabriel@example.com,Banco de Dados,Formado,A,Outro,39.0,1,4805,1,1,Relacionado(a),2,2,Sistemas Operacionais,Ester Sousa,6.76,1,Regular,Algoritmos,Benjamin Sampaio,7.99,6,Regular,Programação,Jade Oliveira,8.53,10,Regular,Banco de Dados,Benicio Nascimento,1.76,14,Ruim,Estruturas de Dados,Ana Vitória Pires,7.64,7,Regular,1
54,Lunna Sousa,fogacaana-vitoria@example.org,Design Gráfico,Trancado,A,Feminino,28.0,1,4809,1,1,Solteiro(a),1,3,Física Aplicada,Marcela Ribeiro,5.5,3,Regular,Cálculo,Sr. Vitor Gabriel Montenegro,1.29,15,Ruim,Circuitos Elétricos,Antonella Andrade,3.41,8,Ruim,Desenho Técnico,Sr. Lucas Gabriel da Luz,7.44,5,Bom,Mecânica,Vitória Alves,3.81,7,Ruim,0
55,Ana Luiza Novaes,albuquerquevalentim@example.com,Engenharia Ambiental,Matriculado,C,Outro,20.0,0,9472,1,1,Solteiro(a),1,4,Gestão de Marketing,Rafael Silva,2.25,5,Ruim,Comportamento do Consumidor,Caleb da Cunha,1.12,14,Ruim,Pesquisa de Mercado,Cauã da Rocha,5.9,6,Regular,Marketing Digital,Liam Pastor,6.39,6,Regular,Publicidade,Sra. Maria Luiza Novais,9.55,6,Regular,0
56,,vsiqueira@example.com,Ciências Sociais,Formado,C,Masculino,35.0,0,2617,1,1,,2,2,Sociologia Geral,Luana Azevedo,5.77,5,Regular,Antropologia,Ana Júlia Lopes,9.01,13,Ruim,Teoria Social,Cecilia Peixoto,3.35,1,Ruim,Psicologia Social,João Miguel Nascimento,0.1,11,Ruim,Movimentos Sociais,Dom Fogaça,8.67,15,Ruim,0
57,Danilo Duarte,xcostela@example.net,Ciências Econômicas,Matriculado,C,Outro,36.0,0,6793,0,0,Casadoo,1,2,Redes de Computadores,Rhavi Nogueira,9.63,4,Bom,Inteligência Artificial,Ravi Lucca Cunha,4.54,12,Ruim,Sistemas Distribuídos,Heloisa Silveira,1.32,13,Ruim,Estruturas de Dados,Aurora da Cruz,3.0,9,Ruim,Algoritmos,Laís Pinto,2.19,2,Ruim,0
58,Ana Julia Lima,peixotosabrina@example.com,Engenharia Mecânica,Formado,D,Outro,22.0,1,2248,1,1,Solteiro(a),1,3,Teorias da Personalidade,Guilherme Fonseca,7.48,7,Regular,Psicologia Social,Maria Júlia Fonseca,5.38,14,Ruim,Psicologia Geral,Luiz Fernando Santos,1.84,8,Ruim,Psicopatologia,Mateus Melo,4.23,14,Ruim,Psicologia do Desenvolvimento,Igor das Neves,1.33,6,Ruim,0
59,Dra. Sabrina Abreu,davi-luccacirino@example.com,Fisioterapia,Formado,B,Outro,36.0,1,1184,1,0,Solteiro(a),2,2,Fisiologia,Liam Dias,1.37,12,Ruim,Anatomia,Stephany Vasconcelos,3.65,11,Ruim,Reabilitação,Melissa Sales,2.19,14,Ruim,Terapia Física,Dr. José Miguel Peixoto,9.58,13,Ruim,Técnicas de Imagem,Brayan Sousa,1.72,14,Ruim,1
60,Anna Liz Macedo,gbarros@example.org,Secretariado Executivo,Trancado,B,Outro,29.0,0,2251,1,0,Solteiro(a),1,2,Gestão de Escritórios,José Miguel Viana,0.44,8,Ruim,Administração do Tempo,Miguel Freitas,1.96,13,Ruim,Comunicação Empresarial,Lucca Guerra,6.6,8,Regular,Atendimento ao Cliente,Maria Helena Novais,3.42,3,Ruim,Gestão de Pessoas,Maria Sophia Costa,8.07,9,Regular,0
61,Murilo Rios,ufarias@example.com,Turismo,Formado,A,Feminino,32.0,0,5407,1,1,Relacionado(a),1,2,Matemática,Ian Carvalho,5.84,9,Regular,Sociologia,Antônio Machado,5.98,4,Regular,Física,Lucca Pinto,7.27,3,Bom,Geografia,Maria Julia Novaes,7.84,15,Ruim,Química,Pietro Lima,9.84,12,Ruim,0
62,Lívia Mendes,kevin60@example.org,,Trancado,D,Outro,41.0,1,3338,0,1,Relacionado(a),1,4,Relações Públicas,Calebe Sampaio,4.98,11,Ruim,Marketing Digital,Vicente Porto,0.86,3,Ruim,Comunicação Publicitária,João Gabriel Casa Grande,6.71,3,Regular,Publicidade Criativa,Milena Farias,3.91,8,Ruim,Comportamento do Consumidor,Sr. Josué da Cruz,9.3,11,Ruim,0
