id;nome;data_nascimento;curso_id;turma_id;salario_medio;trabalha;cidade;estado;uso_alcool;fuma;uso_drogas;problemas_mentais;frequencia_percentual;media_notas;avaliacoes_realizadas
36;!!!INVALID_DATA!!!;2006-08-16;8;1;2793.7;0.0;Fogaça de Aparecida;CE;1.0;1.0;1.0;Beatae delectus illo debitis dolorum nihil repellendus dolorum.;50.0;7.18;3
37;Vitória Fogaça;2006-06-04;8;15;1474.21;0.0;da Cruz;CE;0.0;1.0;0.0;;0.0;7.04;3
38;Henrique Jesus;1999-06-02;5;16;1964.98;0.0;Silveira das Flores;PR;1.0;0.0;1.0;;100.0;4.71;3
39;Davi Lucas da Rocha;2005-12-01;6;15;2671.74;0.0;Pereira;BA;0.0;1.0;1.0;;33.33;;0
40;Gael Rios;1999-04-02;4;10;1202.63;1.0;Caldeira Paulista;PR;1.0;1.0;0.0;;66.67;7.09;1
41;Joana da Cunha;2005-04-10;10;5;4380.61;0.0;da Luz do Norte;GO;1.0;0.0;0.0;;25.0;6.62;5
42;Bianca Cardoso;1996-02-17;10;2;1470.69;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;SE;0.0;0.0;0.0;;60.0;5.66;1
43;Rafaela Andrade;1994-11-06;4;6;4258.37;0.0;;RJ;0.0;1.0;1.0;Ex consequuntur blanditiis facilis et.;50.0;5.37;3
44;Sofia Novais;1995-03-04;3;15;4333.57;1.0;Costa;PA;0.0;1.0;0.0;;33.33;;0
45;Alexia Viana;1998-06-13;2;15;4153.48;0.0;Araújo do Campo;SC;1.0;0.0;1.0;;50.0;8.45;2
46;Leandro Costa;2001-05-04;2;12;3986.32;1.0;Abreu dos Dourados;PB;1.0;1.0;1.0;;50.0;4.56;6
47;Lucas Araújo;2003-01-31;6;2;2100.62;0.0;Siqueira;GO;0.0;0.0;1.0;;25.0;7.45;1
48;Carlos Eduardo Pimenta;1998-03-04;8;13;1064.68;;Sampaio;ES;1.0;1.0;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;57.14;6.83;4
49;Anthony Andrade;1999-05-10;9;19;4553.92;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;ES;0.0;0.0;0.0;;25.0;3.11;2
50;Marcelo Souza;2006-10-05;6;2;1219.98;1.0;;RR;0.0;1.0;1.0;Et dignissimos corporis laboriosam harum eaque blanditiis.;50.0;5.15;2
51;José Pedro Moura;1997-07-12;3;9;4440.87;0.0;Camargo de das Neves;ES;0.0;0.0;1.0;;66.67;;0
52;Heitor Nascimento;2004-10-06;2;11;1412.94;1.0;Cassiano;SP;1.0;0.0;0.0;;75.0;5.36;2
53;Erick Borges;2000-08-10;3;5;1553.53;1.0;Camargo do Sul;MG;1.0;1.0;1.0;;66.67;;0
54;Clarice Pacheco;2004-11-02;5;10;3405.0;0.0;Moura de Duarte;SP;1.0;1.0;1.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;50.0;6.69;1
55;Isaque Monteiro;2003-01-25;1;19;4876.14;0.0;Monteiro;AL;1.0;0.0;1.0;Quaerat repellendus alias.;25.0;6.85;2
56;Anthony da Rosa;2001-11-28;6;4;1662.24;0.0;Melo de Ramos;MG;1.0;1.0;1.0;;66.67;2.5;3
57;Pietra Porto;2000-12-01;6;17;4775.08;0.0;Cirino;AL;1.0;0.0;0.0;;66.67;9.66;1
58;Gustavo Rezende;2006-01-06;6;6;2316.32;1.0;Sales;MS;0.0;1.0;0.0;;50.0;2.45;2
59;Ísis Santos;2000-08-13;7;8;3640.99;0.0;Almeida;AP;0.0;1.0;1.0;;0.0;6.27;4
60;Rebeca Novais;2002-02-20;9;16;598.25;0.0;Leão;PE;0.0;1.0;1.0;;100.0;5.39;5
61;Sr. João Vitor da Cruz;1999-02-08;8;13;3839.73;0.0;Castro;AP;0.0;1.0;0.0;;42.86;;0
62;Ana Vitória Cavalcanti;2003-08-19;10;17;2221.47;1.0;Fonseca de Pereira;RR;0.0;1.0;1.0;;37.5;;0
63;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;1996-02-19;3;17;4981.16;1.0;Monteiro do Sul;AP;0.0;0.0;0.0;;66.67;8.13;2
64;João Vitor Siqueira;2001-07-22;7;19;1355.88;1.0;Jesus;PB;0.0;0.0;1.0;;0.0;;0
65;Lívia Costela;1995-01-18;8;10;2711.69;0.0;Macedo;RN;0.0;1.0;1.0;;33.33;4.84;2
66;Lara Teixeira;1998-05-08;8;18;3413.7;0.0;Teixeira;CE;0.0;0.0;0.0;;100.0;2.68;4
67;Marcela Machado;2000-01-13;4;8;3282.45;1.0;Cassiano da Serra;SP;0.0;1.0;1.0;;75.0;7.49;2
68;Raul Rezende;2002-12-25;3;12;4623.74;0.0;Santos do Campo;ES;0.0;1.0;1.0;;100.0;8.03;1
69;Sarah Nunes;1995-07-22;3;3;2801.46;0.0;;PA;0.0;1.0;1.0;;66.67;4.76;2
70;Raul Cirino;2002-09-17;6;1;4183.0;0.0;Nogueira dos Dourados;BA;1.0;;1.0;;0.0;2.85;3
71;!!!INVALID_DATA!!!;2004-05-09;9;7;3561.27;1.0;Macedo de Oliveira;CE;1.0;1.0;1.0;;50.0;;0
72;Calebe Fernandes;2000-01-01;8;15;2297.16;0.0;Nascimento do Galho;TO;1.0;1.0;0.0;;100.0;7.67;1
73;Cecilia Pinto;1999-02-20;9;3;2349.23;0.0;das Neves;MT;0.0;0.0;0.0;;66.67;2.83;2
74;Ravy da Cunha;2004-04-18;1;14;2334.25;0.0;Vargas da Mata;PE;1.0;1.0;1.0;;100.0;2.68;2
75;Davi Luiz Brito;1997-01-18;10;13;1145.92;1.0;Andrade;CE;0.0;1.0;0.0;;0.0;3.9;4
76;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;2004-09-19;2;3;2361.07;0.0;Carvalho Verde;MA;0.0;0.0;0.0;Doloribus unde maxime debitis ab earum.;66.67;;0
77;Sr. Lucca Martins;2006-11-08;10;7;4955.14;1.0;Cardoso de Campos;AM;0.0;0.0;1.0;Impedit molestias asperiores assumenda nihil dolore.;100.0;3.35;2
78;Dra. Yasmin da Rocha;2005-10-25;9;4;3226.77;1.0;Camargo;AP;0.0;0.0;1.0;;42.86;1.43;1
79;Kevin Borges;2003-09-30;5;12;1584.75;0.0;Pastor da Serra;RR;0.0;0.0;1.0;;50.0;;0
80;Ana Carolina Cavalcante;2006-12-26;3;9;3348.5;1.0;Leão;!!;0.0;0.0;0.0;;50.0;4.83;1
81;Sarah Moraes;2004-11-03;3;11;610.2;1.0;da Rosa;XX;0.0;1.0;0.0;;33.33;7.88;2
82;Luna Pacheco;1995-03-17;10;13;2538.48;0.0;Vasconcelos;AC;1.0;0.0;0.0;!!!INVALID_DATA!!!;20.0;5.81;1
83;Maria Isis Duarte;2006-12-28;7;19;3377.35;0.0;Pires;RJ;0.0;1.0;0.0;;0.0;4.88;2
84;Lucas Almeida;2002-04-13;2;13;3395.46;0.0;Sampaio;MT;1.0;1.0;1.0;Architecto tenetur cumque facere ea ipsum amet.;66.67;1.58;2
85;Alana Macedo;2007-04-21;3;16;3032.93;1.0;Cavalcanti do Galho;RR;1.0;0.0;1.0;;0.0;5.64;2
86;João Cirino;1996-09-13;9;8;2071.02;0.0;Barbosa do Galho;AM;0.0;0.0;1.0;Est aperiam facere sunt incidunt error dolorem.;66.67;4.84;2
87;Dra. Laís Oliveira;1997-12-14;3;2;653.54;0.0;Mendonça;PB;1.0;1.0;;;100.0;6.22;1
88;Anna Liz Viana;1997-10-20;9;9;704.99;1.0;Barbosa Verde;RS;0.0;1.0;1.0;;;5.71;2
89;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;1999-12-22;3;7;4922.07;0.0;Melo;RN;0.0;1.0;1.0;;100.0;9.18;1
90;Dr. Henry Macedo;2000-05-02;7;18;779.56;0.0;Farias;MG;1.0;0.0;0.0;;33.33;7.68;2
91;Antonella Mendonça;2002-10-15;5;13;1722.56;0.0;Fogaça das Pedras;XX;0.0;0.0;0.0;;0.0;;0
92;Lívia Moura;2000-09-30;4;17;1590.99;1.0;Gonçalves de Pimenta;MT;0.0;0.0;1.0;;100.0;4.57;2
93;Thomas Silva;2006-01-14;10;20;4045.92;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;PI;1.0;1.0;1.0;;50.0;;0
94;João Freitas;1997-01-18;8;8;3337.31;1.0;;PE;1.0;1.0;1.0;;100.0;3.17;3
95;Luísa Silva;2006-07-29;6;15;661.41;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;!!;0.0;1.0;0.0;;0.0;7.44;1
96;Ana Liz da Costa;1995-07-19;1;6;3067.2;1.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;PR;0.0;1.0;1.0;;0.0;1.85;1
97;Mariah Mendes;1996-11-17;5;18;4166.42;1.0;Nascimento do Oeste;TO;0.0;1.0;0.0;;75.0;3.17;1
98;Luiz Miguel Pires;2003-01-22;4;12;2778.81;1.0;Fonseca;MS;1.0;1.0;0.0;;;5.69;1
99;Bella Câmara;2002-06-13;1;14;2673.16;1.0;Monteiro;!!;0.0;1.0;0.0;;75.0;5.96;2
100;Luigi Souza;2002-07-15;9;7;4852.48;0.0;!!!INVALID_DATA!!!;AC;0.0;0.0;0.0;Velit vitae accusantium inventore.;66.67;3.21;1
101;Esther Fonseca;1996-04-23;6;20;4371.66;1.0;Barbosa;SC;0.0;1.0;0.0;Enim nam enim.;100.0;6.19;2
102;Lívia Moraes;;8;18;625.41;0.0;Pimenta;PI;1.0;1.0;0.0;;25.0;4.25;2
103;Srta. Zoe Teixeira;2002-11-07;8;8;1780.96;0.0;Campos;TO;0.0;0.0;0.0;;25.0;3.75;1
104;Vicente Sá;;3;13;;1.0;Correia;AM;1.0;0.0;1.0;;20.0;9.41;1
105;Luigi Brito;1998-06-14;4;2;4686.79;0.0;da Cunha de Machado;GO;0.0;1.0;1.0;Optio necessitatibus animi ratione labore.;0.0;;0
106;Allana Pinto;2005-04-12;5;13;4588.31;0.0;Carvalho do Galho;GO;0.0;1.0;1.0;;100.0;1.12;1
107;Yuri Macedo;2000-04-01;2;4;1625.14;1.0;Caldeira das Pedras;PA;0.0;0.0;1.0;;66.67;4.66;5
108;Lucca Araújo;2000-07-02;9;7;2929.4;0.0;Costela;PE;1.0;0.0;;Dolorum cupiditate eum porro quibusdam blanditiis.;100.0;3.44;1
109;Pedro Gomes;1998-06-07;2;10;530.32;0.0;Souza do Amparo;SE;1.0;0.0;1.0;Sint a exercitationem sequi officia explicabo necessitatibus.;66.67;0.69;1
110;Brayan Rios;1998-04-07;1;1;2476.74;1.0;Castro;GO;1.0;0.0;0.0;;0.0;5.03;3
111;Pedro Henrique Viana;2007-04-18;8;20;4696.33;1.0;Costa de da Paz;AC;1.0;1.0;0.0;;25.0;6.3;2
112;Emanuel Marques;2006-08-18;6;8;3127.87;1.0;Dias da Serra;RS;1.0;0.0;1.0;Nostrum repellendus repudiandae blanditiis.;;8.47;1
113;Thomas Moreira;2005-04-09;8;9;;0.0;Porto de Goiás;SP;0.0;0.0;1.0;;60.0;4.07;2
114;Emanuella da Cruz;2001-04-17;8;1;;1.0;Gomes;ES;1.0;1.0;1.0;;66.67;9.76;1
115;Luana Moreira;1998-04-19;10;11;1507.24;0.0;Porto;MG;1.0;1.0;1.0;;0.0;5.91;4
116;Maria Isis Casa Grande;2005-12-30;10;6;4768.79;0.0;Andrade;MA;1.0;0.0;0.0;;100.0;6.66;2
117;Manuella Brito;2004-02-04;2;16;2451.78;1.0;da Conceição dos Dourados;AL;0.0;0.0;1.0;;100.0;9.55;1
118;Sra. Mariah da Cunha;1998-05-13;1;20;816.05;0.0;Aparecida Paulista;XX;0.0;1.0;1.0;;25.0;6.62;4
119;Clarice Dias;2000-07-03;3;18;1729.05;1.0;Araújo de Moreira;RJ;1.0;1.0;1.0;;0.0;8.09;1
120;Enzo Gabriel Montenegro;1996-11-19;5;18;1842.93;0.0;Pastor de Souza;RR;0.0;0.0;;At molestias officia ducimus.;50.0;0.24;1
121;Brayan Carvalho;2003-11-03;1;14;2762.31;1.0;Santos;AP;1.0;0.0;1.0;Laudantium ad aut est corporis voluptate officia eius.;66.67;0.87;2
122;Anthony Gonçalves;1994-05-09;2;11;2548.49;0.0;Correia;ES;0.0;0.0;1.0;;16.67;5.15;3
123;Srta. Mariane Silva;;2;5;1218.15;0.0;da Conceição;MA;0.0;1.0;0.0;;25.0;;0
124;Kamilly Santos;1998-08-04;10;6;2658.24;0.0;Aragão;MA;0.0;1.0;0.0;;100.0;0.73;1
125;Valentina Borges;2003-12-13;10;7;1356.26;1.0;das Neves das Flores;AP;1.0;0.0;1.0;;0.0;6.45;2
126;Nina Rocha;2003-12-14;10;20;2696.27;1.0;das Neves do Norte;PE;1.0;1.0;0.0;;100.0;5.85;3
127;Dr. Yuri Caldeira;2003-11-28;10;2;2652.19;1.0;Pimenta;PA;0.0;0.0;1.0;;66.67;3.36;2
128;Alexia Nogueira;1996-10-13;7;7;1420.86;0.0;da Luz;DF;1.0;1.0;0.0;;25.0;8.06;1
129;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;1995-12-15;6;13;2898.01;1.0;Martins;XX;0.0;1.0;1.0;;50.0;6.65;2
130;Davi Luiz Vargas;1995-07-18;9;10;2984.32;0.0;Gonçalves;MS;1.0;0.0;1.0;;66.67;9.86;1
131;João Vitor Abreu;2002-07-15;8;3;2832.46;1.0;Brito de Moraes;SE;1.0;0.0;0.0;;0.0;6.77;2
132;Gael Henrique Brito;1996-01-08;1;19;732.45;0.0;Jesus;AP;1.0;0.0;0.0;;25.0;3.54;3
133;Benjamin Cavalcante;1997-10-06;3;3;767.89;1.0;Rios de Goiás;PR;1.0;0.0;1.0;;75.0;4.84;3
134;Luara Nascimento;2001-08-14;7;16;2921.36;0.0;Monteiro da Prata;XX;1.0;;0.0;;50.0;3.14;2
135;Emanuella Sales;2004-11-10;8;11;2668.4;1.0;Cardoso;DF;1.0;1.0;0.0;;0.0;3.48;2
136;Mateus Novaes;1995-01-31;6;14;4530.44;1.0;Moraes;ES;1.0;0.0;1.0;;33.33;6.77;3
137;Rhavi Vargas;1998-11-25;5;15;2761.95;0.0;Jesus do Norte;DF;0.0;0.0;0.0;;100.0;7.19;1
138;Thales Cunha;2000-03-14;9;11;0.0;0.0;Dias;SE;1.0;0.0;0.0;;0.0;2.18;1
139;Luiz Otávio Pires;;6;3;3031.66;0.0;Carvalho das Flores;PA;0.0;1.0;1.0;;40.0;;0
140;José Miguel Pereira;2005-11-14;2;1;1039.48;0.0;Aragão do Sul;RJ;0.0;1.0;;Modi fuga quidem corrupti.;25.0;5.25;3
141;Rael Almeida;1998-11-06;3;11;2441.29;0.0;!!!INVALID_DATA!!!;AL;0.0;0.0;0.0;Sapiente nobis ipsum eaque placeat.;50.0;8.54;1
142;Sr. Pedro Henrique Ferreira;2006-08-01;4;13;3541.53;1.0;Moraes do Galho;BA;0.0;0.0;1.0;;50.0;6.26;1
143;Milena da Luz;1994-09-11;8;6;2799.07;0.0;Vasconcelos da Praia;AC;0.0;0.0;0.0;;20.0;2.25;2
144;Eloá Almeida;2000-07-19;2;14;934.9;0.0;Teixeira da Serra;CE;1.0;1.0;0.0;Modi ad tenetur magni aspernatur saepe.;33.33;1.02;1
145;Liz Duarte;2006-11-08;3;11;4820.86;1.0;Rezende;MT;0.0;0.0;0.0;;33.33;2.48;3
146;Dra. Julia Lima;1997-12-29;4;17;3532.17;0.0;Porto de da Mata;RJ;0.0;1.0;1.0;;100.0;5.9;4
147;Marcos Vinicius Cunha;2007-03-24;10;13;2425.44;0.0;Fogaça;RS;1.0;0.0;1.0;;50.0;5.71;1
148;Srta. Alícia Cassiano;2001-04-18;8;1;515.5;1.0;Sousa da Mata;PA;1.0;1.0;1.0;;20.0;7.31;1
149;Emanuelly Aparecida;2004-05-18;5;1;795.28;1.0;;RJ;0.0;0.0;0.0;;100.0;4.75;1
150;Maria Julia Rocha;2003-11-05;7;10;3424.86;1.0;Silveira Grande;RN;1.0;1.0;0.0;;60.0;5.73;2
151;Guilherme Fogaça;2005-01-14;1;7;1206.99;0.0;Pacheco;ES;1.0;0.0;0.0;;0.0;4.31;1
152;Giovanna Correia;2006-01-23;8;14;677.4;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;RO;1.0;0.0;1.0;Enim facilis autem voluptate.;33.33;4.64;3
153;Julia Martins;2001-07-01;1;4;;0.0;Cardoso de Goiás;AM;0.0;0.0;0.0;At corporis magni tempora et repellendus pariatur.;50.0;;0
154;Melissa da Costa;2000-11-29;2;17;3224.62;1.0;Fogaça;MA;1.0;1.0;1.0;;60.0;;0
155;Cauê Pereira;1995-04-13;9;2;4852.16;1.0;Cavalcanti;XX;1.0;1.0;1.0;;0.0;1.08;1
156;Matteo Cavalcante;1996-09-14;1;9;2122.4;;Leão;BA;0.0;0.0;0.0;Facilis quaerat fuga a.;50.0;3.37;2
157;Noah Lopes;1994-08-03;5;10;2118.11;0.0;Sales da Praia;RN;0.0;1.0;0.0;Ea unde quaerat impedit dignissimos sequi.;80.0;4.77;2
158;Gabriel da Conceição;2007-01-16;10;8;3237.49;0.0;da Costa das Flores;PB;0.0;1.0;1.0;;50.0;6.62;2
159;Ísis Porto;2005-08-14;2;12;2487.88;0.0;!!!INVALID_DATA!!!;CE;1.0;0.0;1.0;;66.67;2.64;2
160;Davi Lucca Souza;1999-09-01;3;7;2846.86;0.0;Pimenta da Praia;MG;1.0;0.0;1.0;;33.33;2.61;4
161;João Guilherme Ribeiro;2000-08-26;2;3;1239.48;0.0;Melo Paulista;SP;1.0;0.0;0.0;Nemo odit eos animi hic.;100.0;3.04;1
162;Jade da Paz;2002-07-30;8;20;2068.67;1.0;da Paz das Pedras;GO;1.0;1.0;;Rem necessitatibus omnis iste.;50.0;2.46;2
163;Antônio da Costa;2002-10-07;5;3;4744.18;;Peixoto do Campo;PA;0.0;0.0;1.0;;100.0;6.09;2
164;Luna Lopes;;5;12;553.19;0.0;Oliveira Paulista;RR;1.0;1.0;1.0;;75.0;3.73;2
165;Rafaela da Luz;2002-09-24;10;8;3138.45;1.0;Leão da Mata;BA;;1.0;1.0;;66.67;8.83;1
166;Dr. Gustavo Henrique Albuquerque;2002-02-26;9;17;1122.12;1.0;Montenegro;RR;0.0;1.0;1.0;;50.0;3.8;1
167;Dr. Diego Cardoso;2005-05-26;8;9;3361.66;1.0;Cunha;PI;1.0;0.0;0.0;;0.0;1.85;1
168;Sr. Alexandre da Mota;2007-02-18;5;9;2628.99;1.0;Campos de Peixoto;SP;1.0;1.0;;;33.33;;0
169;Valentim Moraes;1997-12-27;7;1;1858.01;0.0;da Conceição da Serra;MS;1.0;1.0;1.0;;75.0;4.35;5
170;Laís Correia;2004-08-26;4;1;1734.8;0.0;Barros Verde;SC;1.0;0.0;0.0;;100.0;6.37;1
171;Luana Costa;1995-03-07;6;18;2803.59;1.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;RO;0.0;1.0;1.0;;66.67;6.97;2
172;Antonella Peixoto;1996-04-30;8;19;3384.69;0.0;Albuquerque;SC;1.0;1.0;0.0;;25.0;;0
173;Sr. Yan Albuquerque;1997-01-21;7;6;1548.57;0.0;Sales de Minas;XX;1.0;0.0;0.0;;50.0;2.14;1
174;Mariah Gonçalves;2006-05-29;1;4;4110.91;1.0;Cirino do Galho;TO;1.0;0.0;0.0;;25.0;;0
175;Henry Carvalho;1998-12-17;6;12;2375.33;0.0;Camargo da Mata;PR;0.0;1.0;0.0;;25.0;;0
176;Vitor Nogueira;2002-03-31;4;16;1374.96;1.0;Teixeira dos Dourados;TO;1.0;1.0;0.0;Quod distinctio perspiciatis qui deserunt explicabo tempora repellat.;66.67;9.21;1
177;;2002-06-29;4;6;;1.0;Vieira da Mata;GO;1.0;0.0;1.0;;50.0;;0
178;Yasmin Barbosa;1999-02-10;7;15;998.25;0.0;Leão;PB;0.0;0.0;1.0;;50.0;5.94;2
179;Ana da Cunha;1997-11-01;3;11;1570.37;1.0;Cirino;AC;0.0;1.0;0.0;;25.0;8.62;2
180;Gabriela Sousa;1994-08-17;3;18;2224.56;0.0;Rezende;AM;1.0;0.0;1.0;;60.0;2.43;1
181;Isaque Almeida;2004-02-16;6;20;1760.14;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;RR;0.0;1.0;1.0;;33.33;4.16;3
